Geography;Sex;Age group (5,6);2010;2011;2012;2013
Ontario;Males;53 years;96830;99509;101708;105224
Ontario;Males;54 years;92621;96450;99195;101348
Ontario;Males;55 years;91314;92558;96048;98802
Ontario;Males;56 years;86469;90691;92144;95704
Ontario;Males;57 years;82872;86066;90252;91732
Ontario;Males;58 years;79161;82431;85606;89856
Ontario;Males;59 years;78053;78915;81932;85168
Ontario;Males;60 years;75306;77517;78505;81529
Ontario;Males;61 years;74012;75064;77045;78124
Ontario;Males;62 years;74725;73734;74572;76642
Ontario;Males;63 years;76559;74271;73223;74227
Ontario;Males;64 years;61407;74633;73665;72802
Ontario;Males;65 years;56772;61781;74036;73209
Ontario;Males;66 years;55568;56446;61121;73380
Ontario;Males;67 years;53470;54719;55759;60570
Ontario;Males;68 years;49075;52429;53985;55238
Ontario;Males;69 years;46219;48340;51702;53418
Ontario;Males;70 years;43326;45367;47596;51044
Ontario;Males;71 years;41950;42713;44601;46951
Ontario;Males;72 years;40170;41177;41958;43965
Ontario;Males;73 years;37805;39392;40328;41254
Ontario;Males;74 years;36652;37094;38506;39569
Ontario;Males;75 years;34815;35735;36152;37661
Ontario;Males;76 years;32693;33827;34720;35265
Ontario;Males;77 years;31688;31631;32693;33658
Ontario;Males;78 years;30171;30440;30482;31594
Ontario;Males;79 years;29311;28796;29208;29294
Ontario;Males;80 years;26646;27691;27448;27901
Ontario;Males;81 years;23778;25107;26242;26031
Ontario;Males;82 years;21797;22245;23569;24660
Ontario;Males;83 years;19542;20267;20810;22067
Ontario;Males;84 years;17429;17937;18759;19275
Ontario;Males;85 years;15200;15763;16478;17241
Ontario;Males;86 years;13193;13521;14314;14972
Ontario;Males;87 years;10905;11611;12134;12854
Ontario;Males;88 years;9303;9521;10339;10805
Ontario;Males;89 years;7931;7956;8423;9151
Ontario;Males;90 years;5864;6639;6916;7324
Ontario;Males;91 years;3815;4913;5640;5880
Ontario;Males;92 years;2934;3155;4114;4723
Ontario;Males;93 years;2387;2366;2581;3364
Ontario;Males;94 years;1503;1792;1864;2035
Ontario;Males;95 years;1005;1155;1297;1348
Ontario;Males;96 years;726;738;750;842
Ontario;Males;97 years;507;500;454;461
Ontario;Males;98 years;311;333;315;285
Ontario;Males;99 years;174;191;218;206
Ontario;Males;100 years and over;261;235;275;316
Ontario;Females;0 years;68274;68046;67777;68529
Ontario;Females;1 year;69252;69660;68639;68375
Ontario;Females;2 years;70816;70272;70302;69140
Ontario;Females;3 years;69985;71596;70750;70771
Ontario;Females;4 years;69528;71177;72064;71246
Ontario;Females;5 years;69154;70085;71683;72566
Ontario;Females;6 years;69952;69779;70566;72146
Ontario;Females;7 years;68883;70300;70227;70995
Ontario;Females;8 years;69554;69454;70709;70639
Ontario;Females;9 years;69908;70112;69896;71118
Ontario;Females;10 years;72785;70775;70529;70308
Ontario;Females;11 years;73430;73099;71264;70941
Ontario;Females;12 years;75766;74157;73633;71684
Ontario;Females;13 years;78026;76618;74651;74096
Ontario;Females;14 years;82492;78920;77230;75239
Ontario;Females;15 years;84852;83451;79736;78011
Ontario;Females;16 years;85207;86186;84481;80942
Ontario;Females;17 years;87107;86970;87663;86072
Ontario;Females;18 years;89762;89339;89170;89753
Ontario;Females;19 years;91195;91900;91661;91397
Ontario;Females;20 years;92830;92903;93660;93206
Ontario;Females;21 years;89914;94043;94444;95102
Ontario;Females;22 years;87402;91049;95465;95737
Ontario;Females;23 years;88445;89047;92597;97098
Ontario;Females;24 years;89765;89413;90422;93894
Ontario;Females;25 years;89922;91018;90839;91594
Ontario;Females;26 years;89238;91000;92420;92009
Ontario;Females;27 years;89513;90347;92488;93599
Ontario;Females;28 years;88597;90750;91842;93661
Ontario;Females;29 years;89878;89936;92242;93095
Ontario;Females;30 years;88463;90721;91382;93548
Ontario;Females;31 years;87596;89486;91993;92519
Ontario;Females;32 years;86700;88504;90731;93004
Ontario;Females;33 years;87453;87450;89581;91634
Ontario;Females;34 years;89171;88399;88532;90473
Ontario;Females;35 years;90584;89402;89275;89290
Ontario;Females;36 years;88677;90740;90220;90035
Ontario;Females;37 years;89477;89224;91456;90768
Ontario;Females;38 years;91334;89813;89905;92043
Ontario;Females;39 years;96733;91866;90486;90394
Ontario;Females;40 years;95712;96714;92397;90921
Ontario;Females;41 years;95263;96103;97215;92780
Ontario;Females;42 years;94576;95654;96560;97546
Ontario;Females;43 years;95658;94950;96034;96811
Ontario;Females;44 years;100932;96172;95220;96278
Ontario;Females;45 years;108984;101100;96426;95391
Ontario;Females;46 years;111329;108384;101345;96515
Ontario;Females;47 years;111255;110740;108588;101429
Ontario;Females;48 years;107836;110651;110895;108601
Ontario;Females;49 years;108994;108016;110798;110956
Ontario;Females;50 years;106070;109012;108119;110890
Ontario;Females;51 years;102226;106108;109025;108088
Ontario;Females;52 years;100258;102558;106128;108955
Ontario;Females;53 years;98333;100414;102512;106066
Ontario;Females;54 years;95055;98160;100324;102449
Ontario;Females;55 years;94263;95213;98068;100281
Ontario;Females;56 years;90471;93888;95102;97998
Ontario;Females;57 years;86672;90169;93761;95003
Ontario;Females;58 years;82714;86401;90029;93797
Ontario;Females;59 years;80952;82788;86227;89994
Ontario;Females;60 years;79587;80864;82580;86186
Ontario;Females;61 years;77930;79452;80650;82588
Ontario;Females;62 years;78836;78138;79216;80645
Ontario;Females;63 years;80627;78686;77911;79227
Ontario;Females;64 years;65169;79053;78346;77861
Ontario;Females;65 years;60703;65855;78714;78311
Ontario;Females;66 years;59880;60724;65567;78624
Ontario;Females;67 years;57920;59452;60428;65484
Ontario;Females;68 years;53918;57279;59100;60296
Ontario;Females;69 years;51700;53599;56904;58917
Ontario;Females;70 years;49280;51217;53190;56658
Ontario;Females;71 years;48203;49033;50733;52889
Ontario;Females;72 years;45698;47687;48518;50394
Ontario;Females;73 years;43581;45259;47102;48124
Ontario;Females;74 years;43099;43081;44598;46562
Ontario;Females;75 years;41361;42338;42382;43997
Ontario;Females;76 years;39078;40399;41553;41683
Ontario;Females;77 years;38988;38383;39513;40727
Ontario;Females;78 years;37803;37795;37447;38625
Ontario;Females;79 years;37409;36723;36747;36438
Ontario;Females;80 years;35198;36035;35513;35576
Ontario;Females;81 years;32631;33807;34755;34273
Ontario;Females;82 years;31485;31376;32430;33354
Ontario;Females;83 years;29177;29866;29923;30958
Ontario;Females;84 years;28061;27608;28314;28367
Ontario;Females;85 years;26014;26217;26012;26678
Ontario;Females;86 years;23855;24044;24545;24358
Ontario;Females;87 years;21172;21820;22338;22804
Ontario;Females;88 years;18711;19172;20039;20513
Ontario;Females;89 years;16221;16732;17395;18184
Ontario;Females;90 years;13304;14205;15022;15620
Ontario;Females;91 years;9642;11462;12497;13212
Ontario;Females;92 years;7493;8289;9964;10867
Ontario;Females;93 years;6270;6343;7052;8474
Ontario;Females;94 years;4744;5106;5308;5898
Ontario;Females;95 years;3555;3773;4127;4290
Ontario;Females;96 years;2772;2746;2864;3133
Ontario;Females;97 years;2002;2043;2017;2105
Ontario;Females;98 years;1373;1472;1493;1475
Ontario;Females;99 years;909;962;1082;1098
Ontario;Females;100 years and over;1748;1667;1921;2194
Manitoba;Males;0 years;7982;7957;7965;8093
Manitoba;Males;1 year;7896;7905;8003;7994
Manitoba;Males;2 years;7946;7932;7970;8079
Manitoba;Males;3 years;7741;8016;8015;8022
Manitoba;Males;4 years;7626;7884;8112;8098
Manitoba;Males;5 years;7513;7771;8008;8202
Manitoba;Males;6 years;7524;7629;7885;8089
Manitoba;Males;7 years;7568;7662;7743;7974
Manitoba;Males;8 years;7713;7709;7787;7825
Manitoba;Males;9 years;7787;7820;7824;7863
Manitoba;Males;10 years;8155;7981;7942;7897
Manitoba;Males;11 years;8060;8237;8087;8011
Manitoba;Males;12 years;8154;8178;8352;8181
Manitoba;Males;13 years;8320;8302;8293;8413
Manitoba;Males;14 years;8622;8449;8434;8354
Manitoba;Males;15 years;8896;8773;8553;8512
Manitoba;Males;16 years;9119;8972;8913;8649
Manitoba;Males;17 years;8643;9183;9119;9018
Manitoba;Males;18 years;8883;8838;9361;9262
Manitoba;Males;19 years;9036;8969;9034;9552
Manitoba;Males;20 years;9261;9053;9141;9200
Manitoba;Males;21 years;8961;9245;9160;9269
Manitoba;Males;22 years;8570;8947;9315;9228
Manitoba;Males;23 years;8831;8632;9048;9433
Manitoba;Males;24 years;8565;8774;8709;9192
Manitoba;Males;25 years;8591;8628;8897;8812
Manitoba;Males;26 years;8484;8608;8781;9056
Manitoba;Males;27 years;8399;8488;8762;8946
Manitoba;Males;28 years;8185;8417;8661;8936
Manitoba;Males;29 years;8203;8298;8584;8808
Manitoba;Males;30 years;7896;8210;8453;8767
Manitoba;Males;31 years;7687;7933;8366;8609
Manitoba;Males;32 years;7575;7768;8075;8508
Manitoba;Males;33 years;7507;7602;7890;8173
Manitoba;Males;34 years;7814;7616;7693;8006
Manitoba;Males;35 years;7760;7824;7717;7796
Manitoba;Males;36 years;7603;7791;7909;7802
Manitoba;Males;37 years;7684;7640;7894;8021
Manitoba;Males;38 years;7790;7708;7730;7957
Manitoba;Males;39 years;7977;7897;7814;7781
Manitoba;Males;40 years;7937;8037;7986;7867
Manitoba;Males;41 years;7865;7927;8136;8036
Manitoba;Males;42 years;7786;7905;8053;8176
Manitoba;Males;43 years;7751;7833;8014;8100
Manitoba;Males;44 years;8578;7873;7924;8058
Manitoba;Males;45 years;9215;8634;7918;7974
Manitoba;Males;46 years;9504;9226;8690;7943
Manitoba;Males;47 years;9601;9491;9262;8716
Manitoba;Males;48 years;9603;9647;9529;9278
Manitoba;Males;49 years;9843;9642;9676;9531
Manitoba;Males;50 years;9682;9816;9642;9668
Manitoba;Males;51 years;9269;9637;9831;9628
Manitoba;Males;52 years;9079;9266;9611;9803
Manitoba;Males;53 years;8924;9057;9246;9583
Manitoba;Males;54 years;8730;8870;9006;9188
Manitoba;Males;55 years;8623;8692;8817;8942
Manitoba;Males;56 years;8244;8496;8609;8754
Manitoba;Males;57 years;7610;8179;8419;8530
Manitoba;Males;58 years;7513;7581;8088;8338
Manitoba;Males;59 years;7126;7429;7493;8005
Manitoba;Males;60 years;7125;7067;7347;7421
Manitoba;Males;61 years;6737;7017;6987;7271
Manitoba;Males;62 years;6783;6708;6951;6926
Manitoba;Males;63 years;6867;6729;6646;6887
Manitoba;Males;64 years;5551;6661;6656;6581
Manitoba;Males;65 years;5315;5570;6595;6587
Manitoba;Males;66 years;5109;5203;5491;6509
Manitoba;Males;67 years;4773;4984;5149;5430
Manitoba;Males;68 years;4313;4647;4917;5081
Manitoba;Males;69 years;4172;4226;4560;4829
Manitoba;Males;70 years;3813;4060;4137;4472
Manitoba;Males;71 years;3670;3753;3974;4059
Manitoba;Males;72 years;3533;3586;3648;3869
Manitoba;Males;73 years;3231;3425;3465;3524
Manitoba;Males;74 years;3164;3148;3304;3336
Manitoba;Males;75 years;3027;3070;3034;3185
Manitoba;Males;76 years;2873;2891;2941;2908
Manitoba;Males;77 years;2845;2748;2765;2810
Manitoba;Males;78 years;2716;2686;2617;2633
Manitoba;Males;79 years;2508;2579;2558;2495
Manitoba;Males;80 years;2488;2353;2431;2418
Manitoba;Males;81 years;2189;2304;2204;2279
Manitoba;Males;82 years;2149;2088;2156;2062
Manitoba;Males;83 years;1794;1952;1918;1984
Manitoba;Males;84 years;1645;1653;1784;1754
Manitoba;Males;85 years;1550;1488;1500;1619
Manitoba;Males;86 years;1271;1356;1339;1349
Manitoba;Males;87 years;1165;1114;1207;1193
Manitoba;Males;88 years;940;987;966;1046
Manitoba;Males;89 years;801;815;857;838
Manitoba;Males;90 years;643;671;694;730
Manitoba;Males;91 years;497;525;579;598
Manitoba;Males;92 years;385;399;437;482
Manitoba;Males;93 years;272;284;315;345
Manitoba;Males;94 years;206;205;207;229
Manitoba;Males;95 years;151;172;133;134
Manitoba;Males;96 years;125;120;111;85
Manitoba;Males;97 years;47;80;72;67
Manitoba;Males;98 years;54;47;47;44
Manitoba;Males;99 years;29;37;28;29
Manitoba;Males;100 years and over;61;56;55;51
Manitoba;Females;0 years;7808;7494;7652;7767
Manitoba;Females;1 year;7711;7821;7588;7714
Manitoba;Females;2 years;7671;7753;7917;7635
Manitoba;Females;3 years;7482;7799;7826;7986
Manitoba;Females;4 years;7225;7621;7874;7905
Manitoba;Females;5 years;7033;7398;7718;7947
Manitoba;Females;6 years;7297;7210;7499;7764
Manitoba;Females;7 years;7036;7408;7295;7557
Manitoba;Females;8 years;7178;7167;7482;7352
Manitoba;Females;9 years;7389;7327;7265;7547
Manitoba;Females;10 years;7588;7475;7416;7318
Manitoba;Females;11 years;7545;7702;7563;7481
Manitoba;Females;12 years;7618;7654;7818;7623
Manitoba;Females;13 years;7854;7728;7767;7872
Manitoba;Females;14 years;8349;7999;7825;7855
Manitoba;Females;15 years;8572;8442;8125;7906
Manitoba;Females;16 years;8621;8680;8578;8209
Manitoba;Females;17 years;8565;8753;8857;8676
Manitoba;Females;18 years;8739;8701;8872;8957
Manitoba;Females;19 years;8977;8814;8857;9000
Manitoba;Females;20 years;9015;9046;8934;8942
Manitoba;Females;21 years;8589;8960;9100;8972
Manitoba;Females;22 years;8393;8605;9001;9157
Manitoba;Females;23 years;8277;8417;8660;9063
Manitoba;Females;24 years;8218;8272;8477;8721
Manitoba;Females;25 years;8367;8332;8385;8613
Manitoba;Females;26 years;8212;8500;8511;8555
Manitoba;Females;27 years;8091;8287;8663;8712
Manitoba;Females;28 years;8197;8223;8512;8868
Manitoba;Females;29 years;8234;8335;8438;8717
Manitoba;Females;30 years;8172;8447;8516;8592
Manitoba;Females;31 years;8026;8345;8574;8636
Manitoba;Females;32 years;7874;8227;8475;8701
Manitoba;Females;33 years;7823;8009;8325;8540
Manitoba;Females;34 years;7840;8005;8102;8404
Manitoba;Females;35 years;7844;7980;8124;8183
Manitoba;Females;36 years;7547;7949;8097;8202
Manitoba;Females;37 years;7633;7697;8084;8204
Manitoba;Females;38 years;7885;7769;7830;8194
Manitoba;Females;39 years;8055;7979;7878;7942
Manitoba;Females;40 years;8029;8115;8098;7961
Manitoba;Females;41 years;7821;8092;8218;8173
Manitoba;Females;42 years;7555;7906;8196;8259
Manitoba;Females;43 years;7802;7703;7992;8250
Manitoba;Females;44 years;8245;7891;7764;7996
Manitoba;Females;45 years;9012;8292;7921;7797
Manitoba;Females;46 years;9186;8974;8343;7944
Manitoba;Females;47 years;9274;9213;9021;8349
Manitoba;Females;48 years;9276;9228;9257;9045
Manitoba;Females;49 years;9343;9283;9247;9277
Manitoba;Females;50 years;9110;9322;9291;9241
Manitoba;Females;51 years;8769;9104;9330;9271
Manitoba;Females;52 years;8786;8782;9096;9299
Manitoba;Females;53 years;8571;8724;8750;9064
Manitoba;Females;54 years;8249;8474;8684;8699
Manitoba;Females;55 years;8305;8214;8447;8647
Manitoba;Females;56 years;8143;8213;8175;8409
Manitoba;Females;57 years;7799;8018;8179;8146
Manitoba;Females;58 years;7313;7667;7981;8151
Manitoba;Females;59 years;7197;7270;7635;7954
Manitoba;Females;60 years;7031;7088;7231;7610
Manitoba;Females;61 years;6730;6957;7037;7198
Manitoba;Females;62 years;6964;6719;6907;6994
Manitoba;Females;63 years;6864;6867;6672;6864
Manitoba;Females;64 years;5884;6709;6811;6632
Manitoba;Females;65 years;5267;5853;6646;6760
Manitoba;Females;66 years;5174;5219;5786;6575
Manitoba;Females;67 years;5193;5084;5154;5740
Manitoba;Females;68 years;4612;5080;5019;5094
Manitoba;Females;69 years;4702;4580;5016;4963
Manitoba;Females;70 years;4150;4592;4511;4954
Manitoba;Females;71 years;4054;4104;4508;4432
Manitoba;Females;72 years;4019;3984;4036;4438
Manitoba;Females;73 years;3734;3949;3911;3966
Manitoba;Females;74 years;3758;3688;3878;3849
Manitoba;Females;75 years;3676;3667;3604;3795
Manitoba;Females;76 years;3404;3558;3583;3525
Manitoba;Females;77 years;3520;3338;3476;3507
Manitoba;Females;78 years;3493;3370;3239;3375
Manitoba;Females;79 years;3391;3368;3252;3133
Manitoba;Females;80 years;3372;3253;3244;3132
Manitoba;Females;81 years;3100;3200;3116;3109
Manitoba;Females;82 years;2965;2954;3038;2959
Manitoba;Females;83 years;2975;2831;2798;2877
Manitoba;Females;84 years;2768;2765;2658;2631
Manitoba;Females;85 years;2625;2561;2590;2491
Manitoba;Females;86 years;2439;2385;2362;2386
Manitoba;Females;87 years;2303;2218;2203;2181
Manitoba;Females;88 years;2084;2061;2030;2014
Manitoba;Females;89 years;1872;1820;1857;1828
Manitoba;Females;90 years;1474;1645;1621;1653
Manitoba;Females;91 years;1164;1268;1440;1421
Manitoba;Females;92 years;935;983;1085;1233
Manitoba;Females;93 years;825;788;843;931
Manitoba;Females;94 years;678;648;658;703
Manitoba;Females;95 years;521;541;522;530
Manitoba;Females;96 years;385;403;405;391
Manitoba;Females;97 years;295;284;291;293
Manitoba;Females;98 years;207;207;204;210
Manitoba;Females;99 years;135;130;150;148
Manitoba;Females;100 years and over;256;246;271;304
Saskatchewan;Males;0 years;7190;7401;7400;7624
Saskatchewan;Males;1 year;7238;7267;7464;7445
Saskatchewan;Males;2 years;7116;7308;7344;7529
Saskatchewan;Males;3 years;6752;7171;7420;7432
Saskatchewan;Males;4 years;6619;6874;7297;7513
Saskatchewan;Males;5 years;6363;6684;6977;7392
Saskatchewan;Males;6 years;6616;6509;6798;7083
Saskatchewan;Males;7 years;6337;6664;6619;6893
Saskatchewan;Males;8 years;6492;6435;6805;6734
Saskatchewan;Males;9 years;6484;6568;6573;6920
Saskatchewan;Males;10 years;6668;6603;6700;6658
Saskatchewan;Males;11 years;6660;6768;6711;6796
Saskatchewan;Males;12 years;6643;6701;6913;6789
Saskatchewan;Males;13 years;7063;6745;6824;6987
Saskatchewan;Males;14 years;7229;7154;6867;6918
Saskatchewan;Males;15 years;7567;7342;7270;6970
Saskatchewan;Males;16 years;7693;7624;7465;7370
Saskatchewan;Males;17 years;7833;7760;7728;7555
Saskatchewan;Males;18 years;7795;7906;7868;7809
Saskatchewan;Males;19 years;8037;7884;8056;7982
Saskatchewan;Males;20 years;8284;8121;8033;8201
Saskatchewan;Males;21 years;7912;8264;8254;8200
Saskatchewan;Males;22 years;7819;7966;8463;8500
Saskatchewan;Males;23 years;7687;7943;8298;8778
Saskatchewan;Males;24 years;7982;7827;8310;8663
Saskatchewan;Males;25 years;7876;8124;8252;8664
Saskatchewan;Males;26 years;7820;8088;8479;8620
Saskatchewan;Males;27 years;7515;7981;8406;8800
Saskatchewan;Males;28 years;7383;7711;8283;8667
Saskatchewan;Males;29 years;7563;7507;7994;8498
Saskatchewan;Males;30 years;7126;7711;7779;8189
Saskatchewan;Males;31 years;7045;7266;7943;7950
Saskatchewan;Males;32 years;6922;7189;7472;8155
Saskatchewan;Males;33 years;6698;7089;7394;7658
Saskatchewan;Males;34 years;6597;6847;7291;7588
Saskatchewan;Males;35 years;6458;6745;7017;7462
Saskatchewan;Males;36 years;6286;6583;6933;7172
Saskatchewan;Males;37 years;6201;6468;6754;7069
Saskatchewan;Males;38 years;6226;6282;6658;6895
Saskatchewan;Males;39 years;6352;6381;6433;6769
Saskatchewan;Males;40 years;6253;6460;6530;6576
Saskatchewan;Males;41 years;6337;6348;6630;6671
Saskatchewan;Males;42 years;6263;6416;6518;6779
Saskatchewan;Males;43 years;6419;6382;6601;6667
Saskatchewan;Males;44 years;6836;6510;6507;6711
Saskatchewan;Males;45 years;7531;6961;6618;6606
Saskatchewan;Males;46 years;7930;7608;7052;6699
Saskatchewan;Males;47 years;8312;7987;7675;7094
Saskatchewan;Males;48 years;8099;8362;8048;7725
Saskatchewan;Males;49 years;8267;8184;8406;8058
Saskatchewan;Males;50 years;8115;8364;8239;8435
Saskatchewan;Males;51 years;8175;8227;8420;8258
Saskatchewan;Males;52 years;7990;8240;8271;8445
Saskatchewan;Males;53 years;7877;8076;8274;8296
Saskatchewan;Males;54 years;7680;7888;8101;8281
Saskatchewan;Males;55 years;7801;7730;7894;8087
Saskatchewan;Males;56 years;7458;7788;7714;7861
Saskatchewan;Males;57 years;6907;7487;7742;7654
Saskatchewan;Males;58 years;6534;6895;7425;7658
Saskatchewan;Males;59 years;6142;6526;6835;7345
Saskatchewan;Males;60 years;6099;6141;6482;6775
Saskatchewan;Males;61 years;5731;6075;6096;6408
Saskatchewan;Males;62 years;5573;5725;6016;6035
Saskatchewan;Males;63 years;5510;5548;5683;5959
Saskatchewan;Males;64 years;4754;5420;5498;5619
Saskatchewan;Males;65 years;4385;4735;5347;5406
Saskatchewan;Males;66 years;4180;4326;4650;5241
Saskatchewan;Males;67 years;3981;4110;4229;4542
Saskatchewan;Males;68 years;3595;3881;4012;4116
Saskatchewan;Males;69 years;3672;3550;3770;3892
Saskatchewan;Males;70 years;3379;3562;3456;3659
Saskatchewan;Males;71 years;3292;3326;3479;3371
Saskatchewan;Males;72 years;3079;3178;3240;3384
Saskatchewan;Males;73 years;2923;2989;3098;3158
Saskatchewan;Males;74 years;3000;2849;2903;3000
Saskatchewan;Males;75 years;2795;2876;2764;2808
Saskatchewan;Males;76 years;2721;2682;2778;2668
Saskatchewan;Males;77 years;2615;2591;2598;2687
Saskatchewan;Males;78 years;2560;2469;2490;2489
Saskatchewan;Males;79 years;2447;2409;2361;2377
Saskatchewan;Males;80 years;2300;2289;2286;2239
Saskatchewan;Males;81 years;2147;2138;2140;2138
Saskatchewan;Males;82 years;2069;2018;1986;1987
Saskatchewan;Males;83 years;1880;1904;1853;1824
Saskatchewan;Males;84 years;1592;1703;1725;1679
Saskatchewan;Males;85 years;1492;1438;1535;1552
Saskatchewan;Males;86 years;1365;1291;1291;1378
Saskatchewan;Males;87 years;1129;1190;1154;1153
Saskatchewan;Males;88 years;990;978;1048;1016
Saskatchewan;Males;89 years;792;850;843;903
Saskatchewan;Males;90 years;629;665;721;713
Saskatchewan;Males;91 years;481;509;553;601
Saskatchewan;Males;92 years;408;399;427;464
Saskatchewan;Males;93 years;296;310;311;332
Saskatchewan;Males;94 years;219;228;231;231
Saskatchewan;Males;95 years;186;177;171;174
Saskatchewan;Males;96 years;136;147;113;109
Saskatchewan;Males;97 years;99;108;89;68
Saskatchewan;Males;98 years;61;75;67;55
Saskatchewan;Males;99 years;35;47;48;43
Saskatchewan;Males;100 years and over;46;50;62;69
Saskatchewan;Females;0 years;6976;6953;7077;7289
Saskatchewan;Females;1 year;6758;6892;7059;7142
Saskatchewan;Females;2 years;6884;6815;7006;7118
Saskatchewan;Females;3 years;6433;6869;6933;7103
Saskatchewan;Females;4 years;6260;6569;7021;7032
Saskatchewan;Females;5 years;6063;6331;6701;7130
Saskatchewan;Females;6 years;6252;6183;6486;6833
Saskatchewan;Females;7 years;6064;6318;6332;6573
Saskatchewan;Females;8 years;6006;6147;6459;6432
Saskatchewan;Females;9 years;6085;6075;6274;6574
Saskatchewan;Females;10 years;6476;6154;6206;6363
Saskatchewan;Females;11 years;6332;6528;6274;6279
Saskatchewan;Females;12 years;6498;6427;6631;6367
Saskatchewan;Females;13 years;6582;6577;6495;6694
Saskatchewan;Females;14 years;6738;6651;6681;6569
Saskatchewan;Females;15 years;7040;6793;6745;6769
Saskatchewan;Females;16 years;7024;7074;6864;6806
Saskatchewan;Females;17 years;7123;7054;7138;6903
Saskatchewan;Females;18 years;7199;7105;7092;7178
Saskatchewan;Females;19 years;7598;7208;7158;7167
Saskatchewan;Females;20 years;7918;7603;7260;7230
Saskatchewan;Females;21 years;7897;7954;7652;7365
Saskatchewan;Females;22 years;7511;7883;8049;7803
Saskatchewan;Females;23 years;7650;7646;8024;8252
Saskatchewan;Females;24 years;7648;7787;7858;8276
Saskatchewan;Females;25 years;7635;7807;8001;8114
Saskatchewan;Females;26 years;7637;7822;8035;8229
Saskatchewan;Females;27 years;7680;7844;8100;8277
Saskatchewan;Females;28 years;7253;7855;8114;8277
Saskatchewan;Females;29 years;6919;7406;8084;8299
Saskatchewan;Females;30 years;6680;7013;7636;8248
Saskatchewan;Females;31 years;6523;6721;7205;7827
Saskatchewan;Females;32 years;6396;6575;6931;7386
Saskatchewan;Females;33 years;6498;6454;6763;7076
Saskatchewan;Females;34 years;6372;6535;6634;6924
Saskatchewan;Females;35 years;6139;6465;6720;6775
Saskatchewan;Females;36 years;5960;6267;6611;6862
Saskatchewan;Females;37 years;6205;6083;6419;6744
Saskatchewan;Females;38 years;6055;6247;6231;6543
Saskatchewan;Females;39 years;6094;6136;6389;6347
Saskatchewan;Females;40 years;6133;6182;6286;6491
Saskatchewan;Females;41 years;6210;6209;6345;6403
Saskatchewan;Females;42 years;6069;6282;6370;6482
Saskatchewan;Females;43 years;6128;6116;6391;6455
Saskatchewan;Females;44 years;6637;6215;6217;6482
Saskatchewan;Females;45 years;7301;6671;6314;6295
Saskatchewan;Females;46 years;7817;7345;6743;6371
Saskatchewan;Females;47 years;7956;7794;7413;6764
Saskatchewan;Females;48 years;7857;7961;7837;7447
Saskatchewan;Females;49 years;7727;7878;7989;7844
Saskatchewan;Females;50 years;7904;7753;7893;7989
Saskatchewan;Females;51 years;7862;7878;7759;7890
Saskatchewan;Females;52 years;7638;7844;7881;7753
Saskatchewan;Females;53 years;7588;7645;7830;7857
Saskatchewan;Females;54 years;7574;7573;7634;7812
Saskatchewan;Females;55 years;7534;7565;7557;7615
Saskatchewan;Females;56 years;7219;7490;7548;7536
Saskatchewan;Females;57 years;6604;7140;7469;7517
Saskatchewan;Females;58 years;6239;6604;7118;7457
Saskatchewan;Females;59 years;6079;6254;6597;7100
Saskatchewan;Females;60 years;5805;6054;6216;6564
Saskatchewan;Females;61 years;5696;5798;6016;6183
Saskatchewan;Females;62 years;5632;5667;5759;5980
Saskatchewan;Females;63 years;5678;5624;5613;5712
Saskatchewan;Females;64 years;4708;5589;5567;5559
Saskatchewan;Females;65 years;4325;4695;5525;5500
Saskatchewan;Females;66 years;4222;4313;4632;5453
Saskatchewan;Females;67 years;4260;4162;4243;4564
Saskatchewan;Females;68 years;3966;4170;4087;4176
Saskatchewan;Females;69 years;3979;3936;4097;4020
Saskatchewan;Females;70 years;3639;3879;3867;4033
Saskatchewan;Females;71 years;3528;3611;3793;3790
Saskatchewan;Females;72 years;3622;3482;3531;3713
Saskatchewan;Females;73 years;3388;3515;3406;3459
Saskatchewan;Females;74 years;3326;3329;3446;3337
Saskatchewan;Females;75 years;3216;3235;3250;3364
Saskatchewan;Females;76 years;3309;3137;3160;3177
Saskatchewan;Females;77 years;3168;3199;3055;3073
Saskatchewan;Females;78 years;3197;3076;3102;2962
Saskatchewan;Females;79 years;3123;3079;2981;3005
Saskatchewan;Females;80 years;3058;2995;2975;2880
Saskatchewan;Females;81 years;2916;2913;2873;2852
Saskatchewan;Females;82 years;2808;2766;2797;2757
Saskatchewan;Females;83 years;2618;2645;2634;2661
Saskatchewan;Females;84 years;2476;2468;2497;2486
Saskatchewan;Females;85 years;2487;2318;2315;2339
Saskatchewan;Females;86 years;2156;2268;2156;2152
Saskatchewan;Females;87 years;1987;1980;2080;1977
Saskatchewan;Females;88 years;1813;1818;1799;1893
Saskatchewan;Females;89 years;1608;1626;1637;1619
Saskatchewan;Females;90 years;1529;1409;1432;1443
Saskatchewan;Females;91 years;1153;1251;1221;1241
Saskatchewan;Females;92 years;1011;985;1069;1046
Saskatchewan;Females;93 years;847;827;840;912
Saskatchewan;Females;94 years;678;663;669;678
Saskatchewan;Females;95 years;476;533;506;510
Saskatchewan;Females;96 years;345;401;399;380
Saskatchewan;Females;97 years;264;264;291;288
Saskatchewan;Females;98 years;208;226;189;209
Saskatchewan;Females;99 years;78;143;163;136
Saskatchewan;Females;100 years and over;269;219;260;304
Alberta;Males;0 years;26348;26048;26714;27769
Alberta;Males;1 year;26049;26156;26276;27059
