Geography;Sex;Age group (5,6);2010;2011;2012;2013
Newfoundland and Labrador;Females;72 years;2011;2119;2102;2185
Newfoundland and Labrador;Females;73 years;1879;1962;2071;2055
Newfoundland and Labrador;Females;74 years;1771;1839;1919;2023
Newfoundland and Labrador;Females;75 years;1743;1740;1803;1880
Newfoundland and Labrador;Females;76 years;1593;1694;1697;1757
Newfoundland and Labrador;Females;77 years;1547;1565;1646;1648
Newfoundland and Labrador;Females;78 years;1426;1479;1517;1594
Newfoundland and Labrador;Females;79 years;1451;1374;1420;1456
Newfoundland and Labrador;Females;80 years;1376;1380;1308;1351
Newfoundland and Labrador;Females;81 years;1231;1310;1310;1241
Newfoundland and Labrador;Females;82 years;1132;1173;1229;1225
Newfoundland and Labrador;Females;83 years;1070;1081;1103;1152
Newfoundland and Labrador;Females;84 years;1033;989;1008;1027
Newfoundland and Labrador;Females;85 years;864;939;909;926
Newfoundland and Labrador;Females;86 years;736;785;856;829
Newfoundland and Labrador;Females;87 years;692;670;706;770
Newfoundland and Labrador;Females;88 years;661;616;594;627
Newfoundland and Labrador;Females;89 years;572;580;547;529
Newfoundland and Labrador;Females;90 years;512;486;510;481
Newfoundland and Labrador;Females;91 years;400;433;412;432
Newfoundland and Labrador;Females;92 years;293;337;363;345
Newfoundland and Labrador;Females;93 years;223;244;274;295
Newfoundland and Labrador;Females;94 years;206;182;197;222
Newfoundland and Labrador;Females;95 years;155;172;137;149
Newfoundland and Labrador;Females;96 years;96;124;129;103
Newfoundland and Labrador;Females;97 years;76;83;90;93
Newfoundland and Labrador;Females;98 years;53;58;60;65
Newfoundland and Labrador;Females;99 years;11;36;42;43
Newfoundland and Labrador;Females;100 years and over;69;55;66;78
Prince Edward Island;Males;0 years;727;726;718;715
Prince Edward Island;Males;1 year;729;743;736;733
Prince Edward Island;Males;2 years;721;731;758;748
Prince Edward Island;Males;3 years;740;746;743;771
Prince Edward Island;Males;4 years;685;775;761;756
Prince Edward Island;Males;5 years;752;721;785;776
Prince Edward Island;Males;6 years;750;768;732;801
Prince Edward Island;Males;7 years;705;771;777;743
Prince Edward Island;Males;8 years;709;737;776;783
Prince Edward Island;Males;9 years;811;741;744;784
Prince Edward Island;Males;10 years;842;818;753;746
Prince Edward Island;Males;11 years;846;841;823;758
Prince Edward Island;Males;12 years;824;857;847;825
Prince Edward Island;Males;13 years;943;849;861;847
Prince Edward Island;Males;14 years;1017;965;857;866
Prince Edward Island;Males;15 years;974;1018;963;856
Prince Edward Island;Males;16 years;948;1013;1037;972
Prince Edward Island;Males;17 years;975;983;1011;1026
Prince Edward Island;Males;18 years;1063;998;1006;1022
Prince Edward Island;Males;19 years;1045;1054;997;1014
Prince Edward Island;Males;20 years;1055;1046;1065;990
Prince Edward Island;Males;21 years;969;1043;1051;1042
Prince Edward Island;Males;22 years;881;934;1038;1013
Prince Edward Island;Males;23 years;868;853;929;983
Prince Edward Island;Males;24 years;874;862;825;869
Prince Edward Island;Males;25 years;883;842;855;781
Prince Edward Island;Males;26 years;785;840;811;816
Prince Edward Island;Males;27 years;768;789;816;771
Prince Edward Island;Males;28 years;767;756;776;786
Prince Edward Island;Males;29 years;765;789;749;757
Prince Edward Island;Males;30 years;741;766;796;738
Prince Edward Island;Males;31 years;808;746;776;798
Prince Edward Island;Males;32 years;800;818;760;783
Prince Edward Island;Males;33 years;787;829;831;774
Prince Edward Island;Males;34 years;771;804;847;852
Prince Edward Island;Males;35 years;805;797;816;854
Prince Edward Island;Males;36 years;843;818;795;812
Prince Edward Island;Males;37 years;880;849;817;785
Prince Edward Island;Males;38 years;908;904;840;808
Prince Edward Island;Males;39 years;898;939;896;835
Prince Edward Island;Males;40 years;913;936;939;888
Prince Edward Island;Males;41 years;933;956;940;938
Prince Edward Island;Males;42 years;885;969;960;938
Prince Edward Island;Males;43 years;980;941;967;959
Prince Edward Island;Males;44 years;994;997;959;971
Prince Edward Island;Males;45 years;1195;1030;997;958
Prince Edward Island;Males;46 years;1088;1198;1043;1000
Prince Edward Island;Males;47 years;1163;1137;1213;1042
Prince Edward Island;Males;48 years;1124;1174;1161;1213
Prince Edward Island;Males;49 years;1137;1143;1217;1153
Prince Edward Island;Males;50 years;1103;1145;1159;1218
Prince Edward Island;Males;51 years;1077;1125;1153;1155
