Province;group_age;sexe;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038
Quebec;65+;femme;373.5811078;376.4624551;386.7492216;389.6263473;392.4707784;395.282515;398.0615569;400.8079042;403.5122156;406.1651497;408.7760479;411.3215569;413.8063473;416.2117365;418.5377246;420.7843114;422.9468263;425.0252695;427.0196407;428.9439521;430.7982036;432.5870659;434.3292216;436.02;437.6734132;439.2894611
Ontario;0-14;femme;7562.3268;7635.5034;7708.4007;7780.96284;7991.02192;8064.28868;8137.32808;8210.08328;8282.61112;8354.85476;8427.0984;8499.17152;8570.84676;8642.01044;8712.4352;8781.95052;8850.32904;8917.51392;8983.33464;9047.7912;9110.82676;9172.49816;9232.8054;9291.80532;9349.55476;9406.1674
Ontario;15-44;femme;25696.4778;25945.1289;26192.83095;26439.39414;27153.16632;27402.12378;27650.30868;27897.52788;28143.97452;28389.45546;28634.9364;28879.83792;29123.38746;29365.19874;29604.4992;29840.70942;30073.05684;30301.34832;30525.00444;30744.0252;30958.21746;31167.77436;31372.6959;31573.17522;31769.40546;31961.7729
Ontario;45-64;femme;5401.662;5453.931;5506.0005;5557.8306;5707.8728;5760.2062;5812.3772;5864.3452;5916.1508;5967.7534;6019.356;6070.8368;6122.0334;6172.8646;6223.168;6272.8218;6321.6636;6369.6528;6416.6676;6462.708;6507.7334;6551.7844;6594.861;6637.0038;6678.2534;6718.691
Ontario;65+;femme;1620.4986;1636.1793;1651.80015;1667.34918;1712.36184;1728.06186;1743.71316;1759.30356;1774.84524;1790.32602;1805.8068;1821.25104;1836.61002;1851.85938;1866.9504;1881.84654;1896.49908;1910.89584;1925.00028;1938.8124;1952.32002;1965.53532;1978.4583;1991.10114;2003.47602;2015.6073
Prairie;0-14;femme;5507.478932;5596.37653;5686.29058;5777.339156;5933.556177;6027.208571;6137.187809;6232.063334;6327.323084;6422.881864;6518.977641;6615.390063;6711.897073;6808.762473;6905.815874;7003.092507;7100.6165;7198.302661;7296.364825;7394.606771;7493.181271;7592.17352;7691.779738;7791.803704;7892.526834;7994.034321
Prairie;15-44;femme;15620.465;15872.59885;16127.61558;16385.85008;16828.91714;17094.53667;17406.46285;17675.55145;17945.7298;18216.75627;18489.30579;18762.75338;19036.46925;19311.20159;19586.46715;19862.36584;20138.96611;20416.02632;20694.15295;20972.7895;21252.36924;21533.13381;21815.63973;22099.33049;22385.00423;22672.90259
Prairie;45-64;femme;2257.031039;2293.462342;2330.3102;2367.623001;2431.642613;2470.022489;2515.093302;2553.974433;2593.013023;2632.174159;2671.555363;2711.066332;2750.616064;2790.312669;2830.086318;2869.951451;2909.917956;2949.950918;2990.137971;3030.398701;3070.795716;3111.363928;3152.183753;3193.174777;3234.452325;3276.051313
Prairie;65+;femme;403.5519033;410.0657357;416.6540471;423.325489;434.7720469;441.6342796;449.6928362;456.6446919;463.624701;470.6266212;477.6678889;484.7323583;491.8037585;498.9014191;506.0128553;513.1406484;520.2865664;527.444367;534.6297187;541.8282436;549.0511359;556.3046381;563.6031279;570.9322276;578.3125574;585.7503597
Colombie-Britanique;0-14;femme;2209.8986;2236.95563;2263.96443;2290.925;2361.47184;2388.64626;2415.7224;2442.65112;2469.38328;2495.96802;2522.6019;2549.28492;2575.9188;2602.50354;2629.08828;2655.5256;2681.8155;2707.95798;2733.9039;2759.60412;2785.05864;2810.21832;2835.1323;2859.80058;2884.22316;2908.49832
Colombie-Britanique;15-44;femme;8305.3332;8407.02006;8508.52566;8609.85;8874.98208;8977.11012;9078.8688;9180.07344;9280.53936;9380.45124;9480.5478;9580.82904;9680.9256;9780.83748;9880.74936;9980.1072;10078.911;10177.16076;10274.6718;10371.25944;10466.92368;10561.47984;10655.1126;10747.82196;10839.60792;10930.83984
Colombie-Britanique;45-64;femme;1797.0604;1819.06282;1841.02602;1862.95;1920.31776;1942.41564;1964.4336;1986.33168;2008.06992;2029.68828;2051.3466;2073.04488;2094.7032;2116.32156;2137.93992;2159.4384;2180.817;2202.07572;2223.1746;2244.07368;2264.77296;2285.23248;2305.4922;2325.55212;2345.41224;2365.15248
Colombie-Britanique;65+;femme;364.269;368.72895;373.18095;377.625;389.2536;393.7329;398.196;402.6348;407.0412;411.4233;415.8135;420.2118;424.602;428.9841;433.3662;437.724;442.0575;446.3667;450.6435;454.8798;459.0756;463.2228;467.3295;471.3957;475.4214;479.4228
